uuid,current_minute,home_score,away_score,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_attacks,away_attacks,home_dangerous_attacks,away_dangerous_attacks,home_corners,away_corners,home_off_target,away_off_target,home_on_target,away_on_target,home_possession,away_possession,final_delta
7fa4b741-5675-42d3-8352-50c009a920dc,98,0,1,0,0,0,0,104,114,49,70,0,6,3,6,5,6,45,55,0
4873ae51-d9c4-41d4-8a9e-bd6691db0ee4,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,2
40596fc9-dd4d-4de4-a2c2-dc31a1b13c96,43,0,0,0,0,0,0,66,43,43,24,6,0,2,1,2,1,63,37,2
269f65a0-7995-41da-87eb-343bb1cc22dc,28,0,0,0,0,0,0,22,24,10,13,1,3,2,3,1,2,33,67,0
a3c518dd-7714-412a-ac46-3299ed2590e5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,1
29244bdc-594c-4379-826c-efa4527dd056,0,0,0,0,0,0,0,0,3,0,4,0,2,0,0,0,0,0,100,3
5b02e34f-2ecf-411e-9d0f-8def91d02621,39,2,1,0,0,0,0,28,29,21,30,1,6,0,3,2,4,43,57,2
5d668e66-3af6-4994-ab47-8936a3e12ccc,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0
0f07e63e-b419-4e1d-9fc0-721fb22839cf,93,1,1,0,0,0,0,71,105,46,74,4,5,0,6,6,1,35,65,1
dbc777a2-f910-462a-aacc-e3c54992a0c5,88,2,0,1,0,0,0,50,39,50,39,8,4,6,3,6,3,62,38,1
f9413035-c1dd-4000-82d6-0a08f4bb2b1d,68,1,2,0,2,0,0,71,47,16,15,1,0,4,2,1,4,58,42,4
8d1dd814-6c2a-4f6c-9eb0-f34fdeb9f1df,42,0,0,2,2,0,0,20,15,17,12,5,1,2,3,3,0,66,34,0
52341ac3-a553-44ab-9044-f0b0e343a737,101,2,1,0,0,0,0,51,44,33,26,3,4,3,4,12,7,58,42,0
97a66e5b-3bb3-406e-af23-cf4b7773a6da,100,2,0,1,1,0,0,73,82,49,52,3,7,3,3,6,0,43,57,0
3c106550-a7d6-47a7-9ea1-bbd500920cae,34,1,2,0,0,0,0,17,26,9,12,2,3,0,3,3,4,37,63,5
743ad7aa-e629-40b8-b001-f0d58b9808a4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,3
efdc6a46-5945-4f46-af31-dce3f09c50c8,31,1,0,1,1,0,0,32,32,14,16,2,2,1,0,2,1,39,61,2
aefe554c-a730-4cab-9590-775ecfa5e94f,5,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,1,66,34,0
a007a307-9f79-4733-b484-c7aae663217c,106,2,0,0,0,0,0,112,113,64,85,2,5,6,8,4,2,50,50,0
d0953b46-0284-4327-81e5-4c4a31cd430c,88,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0
eb793886-3c32-43e2-9bc0-6850bbb34921,44,0,0,0,1,0,0,46,55,16,17,1,2,3,5,1,2,44,56,1
b31387fe-e273-4095-9ac5-54f90298e65b,18,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,50,50,4
993e9b6c-8160-44b4-9505-44b87022a7de,6,0,0,0,0,0,0,10,3,1,0,0,0,1,0,0,0,82,18,2
058dd263-0b04-43e4-8a01-693632e5b272,10,0,0,0,0,0,0,6,7,4,4,1,0,1,0,1,0,46,54,6
26752748-406e-4a3a-b203-09f91e7441f1,36,0,0,0,0,0,0,18,18,9,10,3,1,1,0,4,2,44,56,2
017db454-978a-4c79-91c1-81f06775c46f,18,0,0,0,0,0,0,20,15,9,5,2,1,1,0,0,0,54,46,4
2b3254ae-7fe0-4bb2-9678-4590665fd08f,2,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,39,61,1
1e1b96a6-595d-4613-b155-14f18b8330a8,72,1,0,1,2,0,0,43,0,26,0,0,0,5,0,4,0,67,32,1
188c6f08-08dd-4ef2-987b-3b07be99ccf5,98,0,3,3,1,0,0,69,74,57,64,3,8,8,3,1,6,46,54,1
b79a94a2-55ec-4277-95fb-fa41e77e05ba,14,0,0,0,0,0,0,23,10,15,2,1,0,1,1,0,0,79,21,3
218722fb-f905-446b-92fe-221ba0119ee3,24,0,0,0,0,0,0,31,26,22,23,2,1,3,1,0,0,53,47,0
486888a5-9f35-4ecc-aaa0-ef0e5afd5dc6,13,0,0,0,0,0,0,10,16,10,6,0,0,1,0,0,0,50,50,5
923dfa6a-031d-4618-b0d5-b3f7109c250a,78,0,0,0,0,0,0,83,61,42,26,4,3,3,4,1,0,70,30,0
2a61fefe-4a59-47f3-a6ed-709757bd1529,41,1,2,0,0,0,0,28,32,18,20,1,2,1,2,2,2,42,58,2
3423823e-22a7-436f-b816-8de3bc2f8655,105,1,0,3,3,0,0,126,102,54,23,8,2,5,8,3,3,58,42,0
a713a685-e794-4251-859a-c7a9f9d229fa,6,0,0,0,0,0,0,7,6,4,1,1,0,1,0,0,0,62,38,2
cd4e598d-257e-4583-955b-6c224f66f878,76,0,0,0,1,0,0,73,64,36,46,2,6,6,1,1,1,55,45,0
39b7fc2d-17e9-4b31-86c7-f031bbe4e426,100,4,2,0,0,0,0,85,72,62,43,3,1,7,5,11,4,47,53,0
ec766530-d274-4238-83f1-753a368b9a2d,72,0,1,1,1,0,0,85,60,53,30,4,1,3,5,1,3,62,38,1
cd5f40cc-7878-4a72-906e-c4b096ec1e87,76,0,0,1,1,0,0,58,61,35,20,3,3,6,7,3,3,52,48,1
8b78f418-6067-43ac-840f-07301b67afd1,77,1,1,0,0,0,0,77,62,53,39,3,3,2,1,4,2,52,48,0
0e69f6ec-42d5-4149-892f-167ad8ea4fe7,63,0,1,0,1,0,0,29,21,24,10,2,2,4,2,0,2,54,46,3
48931cbe-d1ec-4c8b-bde6-1c2c949afa63,89,2,0,2,0,0,0,51,67,20,27,5,2,3,3,5,1,48,52,1
14b8b221-0504-4dd6-b2c8-5ce0dd797f60,84,0,0,2,3,0,0,135,89,73,33,4,1,6,2,2,3,58,42,3
bac04151-f1af-495f-9a8d-9774e3b168ac,96,1,1,0,0,0,0,68,66,44,35,3,1,16,4,2,6,59,41,0
537e887c-8aa7-470e-81a2-0e65d2147752,66,0,0,0,0,0,0,30,32,17,22,2,1,3,3,4,3,52,48,0
34c1d2d3-26f3-47de-9b2e-a62a81d02361,93,3,0,1,2,0,0,116,96,41,64,2,2,2,3,3,3,49,51,0
f98dfdad-3773-45ed-ba79-7af699550fbd,102,1,2,0,0,0,0,77,55,32,29,2,4,2,2,7,4,59,41,2
c6b5b884-8989-41f3-92f0-48f02cd3608c,89,0,0,2,0,0,0,84,82,42,64,4,6,0,10,2,1,51,49,0
0440531c-2a62-4b96-8553-e7da3222134d,89,2,1,2,1,0,0,54,70,30,56,1,4,2,5,3,4,46,54,0
bf026aaf-b8a7-4aa2-a7f2-01edbb923610,103,0,4,1,1,0,0,69,54,42,30,10,2,6,5,9,8,63,37,1
aca71b42-bb41-4c85-a59c-353a68786eb5,26,0,0,0,0,0,0,19,18,9,11,1,2,0,3,2,2,53,47,0
078c9c45-e32e-4810-aea3-ba5876d6f8ab,96,2,1,1,1,0,0,66,76,50,34,6,4,9,3,4,2,41,59,0
5af76fe6-ac57-4c45-baa4-d6af5fb97f11,94,2,1,3,2,0,0,39,46,22,24,4,2,5,5,4,5,49,51,3
e1ab2029-257d-4596-a85a-fa27d7c611cf,82,0,3,1,3,0,0,27,37,15,13,3,1,2,4,2,4,53,47,1
2ffcc1ff-cb62-44c2-8839-e0fd2c0f38c6,74,1,3,1,0,0,0,113,90,34,45,4,1,3,5,1,5,58,42,0
1868002a-5cb7-4a55-9181-69959cec354c,43,0,0,0,0,0,0,0,31,0,35,0,3,0,1,0,4,20,80,2
d58b1648-487f-475d-9b1c-86afa5a71cfe,78,0,1,0,0,0,0,47,43,28,31,1,7,3,2,2,6,48,52,0
99023b41-fd62-419a-935e-fe8edb29ee41,87,1,0,0,0,0,0,63,39,37,26,8,1,7,3,6,0,60,40,0
fb0f9a7f-bc85-47ad-b568-dc09ced3729f,23,0,0,0,0,0,0,43,31,28,21,1,1,1,0,3,0,49,51,5
273036fd-004d-4bba-b08f-ac7f4036bf8e,88,1,2,0,1,0,0,33,48,23,37,8,3,4,3,7,2,44,56,0
f8859eb0-f266-426e-9634-321f7e8ba4f8,89,3,0,0,0,0,0,63,52,39,19,6,0,5,4,9,1,67,33,0
7be45ff6-ce95-409a-a40b-df94c7dd6c7e,24,0,0,0,0,0,0,23,23,16,15,0,0,0,0,2,0,59,41,0
65d11235-143a-4482-886e-87dba998927f,70,0,0,0,1,0,0,42,74,28,62,3,4,3,11,0,5,39,61,2
ec70126f-fc51-464e-84f4-ba275a8a4353,65,0,0,0,0,0,0,54,89,21,26,1,2,7,6,1,2,47,53,2
5fa7f6b8-ddc4-4fdd-b676-10032882c679,42,1,2,0,1,0,0,36,27,39,28,2,2,7,0,6,3,63,37,2
dac22fc7-ba3e-40b7-b747-0da7329ce5c1,92,1,1,2,1,0,0,94,110,50,52,3,4,8,6,3,4,49,51,2
dc93acff-a676-41d8-8e9f-9ec9997b44b9,66,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,50,50,3
3d8a4eee-fbee-4804-b447-41f878dec6be,105,0,1,1,3,0,0,77,134,55,113,4,6,3,6,0,5,36,64,1
c38aa440-5bf9-46bb-b0c9-1809e8008470,107,2,1,3,2,0,0,180,73,95,22,7,1,8,6,7,1,71,29,1
6386916d-5abe-48b8-85e5-82bfb3549adf,85,0,0,0,0,0,0,0,0,12,11,1,1,0,0,0,0,51,49,0
9c1aea48-12bf-43c0-943d-a864b6b21540,42,2,1,0,0,0,0,43,58,26,40,4,4,5,5,5,3,49,51,2
5a474d16-bc9a-47e2-bd3c-a4a01358ad99,83,1,2,0,2,1,0,95,97,52,59,6,3,1,6,2,5,47,53,0
17ef57aa-7025-4dbb-a89d-31e88d5513cb,77,0,1,1,4,0,0,74,84,32,38,3,3,11,7,1,2,50,50,4
f6a0fa10-b980-4f93-be05-49cb86f305ec,27,1,0,0,0,0,0,22,18,18,12,0,1,1,5,2,1,52,48,3
34918dc3-4b99-47c0-b713-7b99eb5cb1cc,69,1,5,0,0,0,0,23,35,9,29,1,3,2,7,1,9,43,57,0
3d94e3f5-ec90-4ddd-b93c-fcfb7a1df242,11,0,0,0,0,0,0,12,18,7,14,2,3,3,1,0,0,38,62,1
13fa4c90-f8bb-429a-9fb2-c4503980a670,84,0,0,2,4,0,0,137,90,74,34,4,1,6,2,2,3,58,42,3
266a92a8-7994-4e40-8e54-7a438b1d6737,96,0,1,0,2,0,0,116,88,93,53,9,5,4,1,0,1,58,42,1
3f9254dd-2d9d-49d1-a3be-4548fa998c6f,1,0,0,0,0,0,0,1,4,0,5,0,0,0,0,0,0,28,72,2
ef435940-19fc-4931-911f-545604bd2c59,2,0,0,0,0,0,0,2,1,1,3,0,2,0,1,0,0,49,51,3
c6c1ac21-17ce-485f-9a85-30b8f1a3fc56,67,2,0,0,1,0,0,48,69,29,36,1,3,3,1,1,0,43,57,1
9286ea0e-2b35-4d8b-b546-1095c032f72a,84,0,0,1,0,0,0,32,22,9,11,0,0,0,3,0,0,63,37,1
8b165bbc-2987-48d7-9fd8-6c6e23245ac6,14,0,1,1,0,0,0,17,20,6,12,0,0,0,1,2,2,38,62,0
249e9a42-65e9-4fac-a84a-9dedadf8b7ef,8,0,0,0,0,0,0,2,1,1,1,0,0,1,0,0,0,83,17,2
5a92c201-7e6c-452c-9212-b3a4edc8768a,87,0,0,0,0,0,0,70,61,25,13,3,4,7,3,2,2,47,53,2
bb7fbd3e-0f88-4c77-ab37-325b479a6fce,28,0,0,0,0,0,0,45,55,23,20,0,2,1,1,2,1,38,62,3
040e4ee1-3e51-4bd9-ad63-5d6efd50c2b7,73,1,1,0,0,0,0,69,75,21,20,3,2,5,4,3,2,43,57,0
2657ca38-8f95-4997-90b4-1b3801e8dc42,39,0,0,0,0,0,0,64,43,38,24,1,0,3,0,3,4,59,41,0
78b7f336-e25b-4d67-a923-e24d2a8e854a,92,1,1,0,0,0,0,136,109,72,50,5,4,6,4,5,1,60,40,0
b26962be-e014-48bf-883e-54007a1d3e13,98,2,0,3,8,0,1,71,60,73,41,6,0,8,3,3,1,60,40,0
9d117ea6-eb48-4734-ac39-3f328025abea,44,1,1,0,1,0,0,55,46,20,18,3,4,4,5,1,1,52,48,0
690ba923-fdbe-4e50-9775-4a66f55b2c9a,62,1,0,0,0,0,0,67,57,21,22,2,0,0,4,2,0,48,52,2
8672e34a-e734-420f-b2db-e086b69e3d90,48,2,1,2,1,0,0,43,63,29,12,7,1,3,2,7,3,64,36,1
4c3ef0e4-459f-4457-a062-3c66a0a11863,93,1,0,0,2,0,0,89,116,45,62,2,1,4,8,1,2,46,54,0
62c837ec-9b0f-4c8c-afdd-b5524ef9cac4,44,0,0,3,1,0,0,58,49,28,23,2,1,5,3,2,1,50,50,3
aa2afbd2-2319-4030-9060-bd41092a3893,85,2,1,1,2,0,0,53,44,58,26,6,1,8,4,6,2,53,47,2
fc4b7f63-6ec0-46e7-a8e0-83b4c8b30401,70,0,2,0,0,0,0,80,67,38,33,3,2,4,0,4,2,58,42,2
0e76c44c-4d96-4069-b295-1a0aa2dc5dfe,26,0,0,2,0,0,0,30,31,8,11,1,3,2,3,1,0,49,51,3
df2a2be2-bdf1-4eb6-842f-c55fc9686dd0,73,1,0,0,0,0,0,29,30,17,21,2,0,3,3,2,0,55,45,2
74f6f956-594c-4b00-96e0-01999aeca537,88,0,2,1,1,0,0,46,68,28,53,1,1,3,5,0,7,35,65,0
